"filename", "language", "JavaScript", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\AC\Desktop\Workplace\Projects\rentalListingSystem\.postman\config.json", "JSON", 0, 12, 0, 0, 0, 12
"c:\Users\AC\Desktop\Workplace\Projects\rentalListingSystem\README.md", "Markdown", 0, 0, 97, 0, 49, 146
"c:\Users\AC\Desktop\Workplace\Projects\rentalListingSystem\package-lock.json", "JSON", 0, 1520, 0, 0, 1, 1521
"c:\Users\AC\Desktop\Workplace\Projects\rentalListingSystem\package.json", "JSON", 0, 25, 0, 0, 1, 26
"c:\Users\AC\Desktop\Workplace\Projects\rentalListingSystem\postman\environments\New_Environment.postman_environment.json", "JSON", 0, 6, 0, 0, 0, 6
"c:\Users\AC\Desktop\Workplace\Projects\rentalListingSystem\postman\globals\workspace.postman_globals.json", "JSON", 0, 7, 0, 0, 0, 7
"c:\Users\AC\Desktop\Workplace\Projects\rentalListingSystem\src\app.js", "JavaScript", 19, 0, 0, 3, 12, 34
"c:\Users\AC\Desktop\Workplace\Projects\rentalListingSystem\src\config\db.js", "JavaScript", 20, 0, 0, 0, 3, 23
"c:\Users\AC\Desktop\Workplace\Projects\rentalListingSystem\src\controllers\healths.controller.js", "JavaScript", 8, 0, 0, 0, 2, 10
"c:\Users\AC\Desktop\Workplace\Projects\rentalListingSystem\src\controllers\listings.controller.js", "JavaScript", 122, 0, 0, 6, 11, 139
"c:\Users\AC\Desktop\Workplace\Projects\rentalListingSystem\src\controllers\tests.controller.js", "JavaScript", 5, 0, 0, 1, 2, 8
"c:\Users\AC\Desktop\Workplace\Projects\rentalListingSystem\src\controllers\users.controller.js", "JavaScript", 57, 0, 0, 0, 4, 61
"c:\Users\AC\Desktop\Workplace\Projects\rentalListingSystem\src\errors\AppErrors.js", "JavaScript", 8, 0, 0, 0, 1, 9
"c:\Users\AC\Desktop\Workplace\Projects\rentalListingSystem\src\middlewares\requireAuth.js", "JavaScript", 18, 0, 0, 0, 0, 18
"c:\Users\AC\Desktop\Workplace\Projects\rentalListingSystem\src\middlewares\requireRole.js", "JavaScript", 12, 0, 0, 0, 2, 14
"c:\Users\AC\Desktop\Workplace\Projects\rentalListingSystem\src\repositories\listings.repository.js", "JavaScript", 93, 0, 0, 9, 15, 117
"c:\Users\AC\Desktop\Workplace\Projects\rentalListingSystem\src\repositories\users.repository.js", "JavaScript", 34, 0, 0, 0, 6, 40
"c:\Users\AC\Desktop\Workplace\Projects\rentalListingSystem\src\routes\healths.routes.js", "JavaScript", 5, 0, 0, 0, 4, 9
"c:\Users\AC\Desktop\Workplace\Projects\rentalListingSystem\src\routes\listings.routes.js", "JavaScript", 12, 0, 0, 0, 7, 19
"c:\Users\AC\Desktop\Workplace\Projects\rentalListingSystem\src\routes\tests.routes.js", "JavaScript", 5, 0, 0, 0, 2, 7
"c:\Users\AC\Desktop\Workplace\Projects\rentalListingSystem\src\routes\users.routes.js", "JavaScript", 9, 0, 0, 0, 5, 14
"c:\Users\AC\Desktop\Workplace\Projects\rentalListingSystem\src\scripts\seedAdmin.js", "JavaScript", 17, 0, 0, 1, 5, 23
"c:\Users\AC\Desktop\Workplace\Projects\rentalListingSystem\src\server.js", "JavaScript", 11, 0, 0, 0, 6, 17
"c:\Users\AC\Desktop\Workplace\Projects\rentalListingSystem\src\services\authorization.js", "JavaScript", 16, 0, 0, 0, 5, 21
"c:\Users\AC\Desktop\Workplace\Projects\rentalListingSystem\src\services\listings.service.js", "JavaScript", 110, 0, 0, 17, 18, 145
"c:\Users\AC\Desktop\Workplace\Projects\rentalListingSystem\src\services\users.service.js", "JavaScript", 74, 0, 0, 12, 11, 97
"Total", "-", 655, 1570, 97, 49, 172, 2543